title,address,access,age,floor,fee,management_fee,deposit,gratuity,madori,menseki
スカイビュー東土川,京都府京都市南区久世東土川町,"
ＪＲ東海道本線/向日町駅 歩20分
阪急京都線/東向日駅 歩23分
ＪＲ東海道本線/桂川駅 バス10分 (バス停)東土川 歩1分
","
築30年
7階建
","
											1階",6.6万円,9300円,-,6.6万円,2DK,53.7m2
グラン・ベイベリー,京都府向日市物集女町北ノ口,"
阪急京都線/洛西口駅 歩11分
ＪＲ東海道本線/桂川駅 歩19分
阪急京都線/桂駅 歩29分
","
築15年
3階建
","
											2階",5.8万円,4000円,-,5.8万円,1K,28.92m2
グラン・ベイベリー,京都府向日市物集女町北ノ口,"
阪急京都線/洛西口駅 歩11分
ＪＲ東海道本線/桂川駅 歩19分
阪急京都線/桂駅 歩29分
","
築15年
3階建
","
											2階",5.8万円,4400円,-,5.8万円,1K,28.92m2
グラン・ベイベリー,京都府向日市物集女町北ノ口,"
阪急京都線/洛西口駅 歩11分
ＪＲ東海道本線/桂川駅 歩19分
阪急京都線/桂駅 歩29分
","
築15年
3階建
","
											3階",6.7万円,4400円,-,6.7万円,1DK,43.46m2
ベルベデール向日町,京都府京都市南区久世中久世町２,"
ＪＲ東海道本線/桂川駅 歩9分
阪急京都線/東向日駅 歩15分
ＪＲ東海道本線/向日町駅 歩10分
","
築31年
6階建
","
											1階",7.9万円,10000円,-,15万円,3DK,60.42m2
ベルベデール向日町,京都府京都市南区久世中久世町２,"
ＪＲ東海道本線/桂川駅 歩9分
阪急京都線/東向日駅 歩15分
ＪＲ東海道本線/向日町駅 歩10分
","
築31年
6階建
","
											1階",8万円,10000円,-,15万円,3LDK,66.01m2
ベルベデール向日町,京都府京都市南区久世中久世町２,"
ＪＲ東海道本線/桂川駅 歩9分
阪急京都線/東向日駅 歩15分
ＪＲ東海道本線/向日町駅 歩10分
","
築31年
6階建
","
											4階",8万円,10000円,-,15万円,3LDK,60.42m2
パルデンス長谷川,京都府向日市寺戸町乾垣内,"
阪急京都線/東向日駅 歩13分
ＪＲ東海道本線/向日町駅 歩20分
阪急京都線/西向日駅 歩28分
","
築29年
地下2地上2階建
","
											1階",8.4万円,-,-,-,2LDK,48m2
プチメゾン,京都府京都市南区久世東土川町,"
ＪＲ東海道本線/向日町駅 歩20分
阪急京都線/東向日駅 歩26分
ＪＲ東海道本線/桂川駅 歩35分
","
築35年
2階建
","
											1階",5.5万円,4000円,-,-,2DK,42m2
ＪＲ東海道本線 向日町駅 2階建 築35年,京都府京都市南区久世東土川町,"
ＪＲ東海道本線/向日町駅 歩22分
ＪＲ東海道本線/桂川駅 バス12分 (バス停)国道東土川 歩4分
阪急京都線/西向日駅 歩27分
","
築35年
2階建
","
											1階",5.5万円,4000円,-,-,2DK,42m2
サンビレッジ大原野,京都府京都市西京区大原野上里南ノ町,"
阪急京都線/桂駅 バス17分 (バス停)宇の山 歩2分
阪急京都線/東向日駅 歩42分
阪急京都線/洛西口駅 歩45分
","
築24年
2階建
","
											2階",7万円,-,-,-,2LDK,60.35m2
阪急京都線 西向日駅 3階建 築9年,京都府長岡京市井ノ内上印田,"
阪急京都線/西向日駅 歩17分
阪急京都線/長岡天神駅 歩26分
ＪＲ東海道本線/長岡京駅 歩33分
","
築9年
3階建
","
											1階",7.6万円,8500円,10万円,20万円,2LDK,54.67m2
ハイデンス岡田,京都府向日市物集女町クヅ子,"
阪急京都線/東向日駅 歩18分
阪急京都線/桂駅 歩28分
阪急京都線/洛西口駅 歩7分
","
築34年
3階建
","
											2階",3.2万円,3000円,-,3.2万円,1K,20.65m2
フロイデ東向日,京都府向日市寺戸町殿長,"
阪急京都線/東向日駅 歩5分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/西向日駅 歩18分
","
築33年
4階建
","
											2階",3.4万円,5000円,-,-,1K,17.66m2
フロイデ東向日,京都府向日市寺戸町殿長,"
阪急京都線/東向日駅 歩5分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/西向日駅 歩18分
","
築33年
4階建
","
											4階",3.4万円,6000円,-,-,ワンルーム,17.66m2
フロイデ東向日,京都府向日市寺戸町殿長,"
阪急京都線/東向日駅 歩5分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/西向日駅 歩18分
","
築33年
4階建
","
											2階",3.4万円,6000円,-,-,ワンルーム,16.5m2
フロイデ東向日,京都府向日市寺戸町殿長,"
阪急京都線/東向日駅 歩5分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/西向日駅 歩18分
","
築33年
4階建
","
											3階",3.4万円,6000円,-,-,ワンルーム,17.66m2
フロイデ東向日,京都府向日市寺戸町殿長,"
阪急京都線/東向日駅 歩5分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/西向日駅 歩18分
","
築33年
4階建
","
											2階",3.6万円,6000円,-,-,ワンルーム,16.5m2
フロイデ東向日,京都府向日市寺戸町殿長,"
阪急京都線/東向日駅 歩5分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/西向日駅 歩18分
","
築33年
4階建
","
											4階",3.6万円,6000円,-,-,ワンルーム,17m2
フロイデ東向日,京都府向日市寺戸町殿長,"
阪急京都線/東向日駅 歩5分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/西向日駅 歩18分
","
築33年
4階建
","
											2階",3.7万円,6000円,-,-,1K,17.68m2
フロイデ東向日,京都府向日市寺戸町殿長,"
阪急京都線/東向日駅 歩5分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/西向日駅 歩18分
","
築33年
4階建
","
											4階",3.7万円,6000円,-,-,1K,17.66m2
Ｕｌｕｒｕ東向日,京都府向日市寺戸町西田中瀬,"
阪急京都線/東向日駅 歩7分
ＪＲ東海道本線/向日町駅 歩9分
阪急京都線/洛西口駅 歩19分
","
築13年
5階建
","
											2階",6.7万円,6000円,5万円,15万円,1DK,32.4m2
ＭＡＳＴ　ＣＯＵＲＴ　東向日,京都府向日市寺戸町向畑,"
阪急京都線/東向日駅 歩3分
ＪＲ東海道本線/向日町駅 歩10分
阪急京都線/洛西口駅 歩20分
","
築6年
3階建
","
											3階",8.4万円,6000円,5万円,20万円,1LDK,42.09m2
ハイツ白井Ａ棟,京都府向日市森本町前田,"
阪急京都線/東向日駅 歩13分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/西向日駅 歩15分
","
築26年
2階建
","
											2階",6.3万円,3000円,6.3万円,-,1LDK,41.7m2
ＪＲ東海道本線 向日町駅 7階建 築30年,京都府京都市南区久世東土川町,"
ＪＲ東海道本線/向日町駅 歩20分
阪急京都線/東向日駅 歩23分
ＪＲ東海道本線/桂川駅 バス10分 (バス停)東土川 歩1分
","
築30年
7階建
","
											1階",6.6万円,9300円,-,6.6万円,2DK,53.7m2
パルシティ久我,京都府京都市伏見区久我本町,"
地下鉄烏丸線/竹田駅 バス15分 (バス停)菱妻神社前 歩1分
ＪＲ東海道本線/向日町駅 歩33分
阪急京都線/東向日駅 歩35分
","
築27年
3階建
","
											2階",5.7万円,3000円,3万円,5.7万円,1LDK,43.84m2
パルシティ久我,京都府京都市伏見区久我本町,"
地下鉄烏丸線/竹田駅 バス15分 (バス停)菱妻神社前 歩1分
ＪＲ東海道本線/向日町駅 歩33分
阪急京都線/東向日駅 歩35分
","
築27年
3階建
","
											3階",6.2万円,3000円,3万円,6.2万円,2DK,51.03m2
サン・ドマーニ,京都府京都市南区久世大薮町,"
ＪＲ東海道本線/向日町駅 歩25分
阪急京都線/東向日駅 歩27分
ＪＲ東海道本線/桂川駅 歩38分
","
築11年
3階建
","
											3階",7.3万円,7000円,3万円,10万円,1LDK,40.9m2
サンフラワーＡ,京都府向日市寺戸町二枚田,"
阪急京都線/東向日駅 歩4分
ＪＲ東海道本線/向日町駅 歩9分
阪急京都線/西向日駅 歩16分
","
築10年
3階建
","
											2階",7.7万円,6000円,3万円,20万円,1LDK,39.76m2
サンフラワーＡ,京都府向日市寺戸町二枚田,"
阪急京都線/東向日駅 歩4分
ＪＲ東海道本線/向日町駅 歩9分
阪急京都線/西向日駅 歩16分
","
築10年
3階建
","
											2階",7.6万円,7000円,3万円,15万円,1LDK,39.76m2
シャルマンコート,京都府向日市寺戸町西野辺,"
阪急京都線/東向日駅 歩6分
ＪＲ東海道本線/向日町駅 歩12分
ＪＲ東海道本線/桂川駅 歩31分
","
築14年
2階建
","
											1階",6.7万円,2000円,-,20万円,1DK,33.53m2
シャルマンコート,京都府向日市寺戸町西野辺,"
阪急京都線/東向日駅 歩6分
ＪＲ東海道本線/向日町駅 歩12分
ＪＲ東海道本線/桂川駅 歩31分
","
築14年
2階建
","
											1階",6.7万円,3000円,-,20万円,1DK,33.53m2
シャーメゾンルンガルノ,京都府京都市南区久世築山町,"
ＪＲ東海道本線/向日町駅 歩18分
ＪＲ東海道本線/桂川駅 歩28分
阪急京都線/東向日駅 歩26分
","
築10年
2階建
","
											1階",8.4万円,6000円,3万円,20万円,2LDK,55.49m2
阪急京都線 東向日駅 2階建 築29年,京都府向日市寺戸町乾垣内,"
阪急京都線/東向日駅 歩15分
ＪＲ東海道本線/向日町駅 歩20分
ＪＲ東海道本線/桂川駅 歩27分
","
築29年
2階建
","
											1階",8.4万円,-,-,-,2LDK,49.09m2
アーバン寺戸,京都府向日市寺戸町西垣内,"
阪急京都線/東向日駅 歩7分
ＪＲ東海道本線/向日町駅 歩12分
ＪＲ東海道本線/桂川駅 歩27分
","
築32年
3階建
","
											3階",7.1万円,4000円,-,-,2DK,46.75m2
双葉マンション,京都府向日市物集女町南条,"
阪急京都線/東向日駅 歩13分
ＪＲ東海道本線/向日町駅 歩19分
ＪＲ東海道本線/桂川駅 歩27分
","
築49年
3階建
","
											1階",5万円,5000円,-,-,2DK,36.92m2
エレガンス岡崎,京都府向日市寺戸町中垣内,"
阪急京都線/東向日駅 歩8分
ＪＲ東海道本線/向日町駅 歩12分
阪急京都線/洛西口駅 歩20分
","
築27年
4階建
","
											2階",4.8万円,5000円,-,-,1K,19m2
エレガンス岡崎,京都府向日市寺戸町中垣内,"
阪急京都線/東向日駅 歩8分
ＪＲ東海道本線/向日町駅 歩12分
阪急京都線/洛西口駅 歩20分
","
築27年
4階建
","
											3階",5.2万円,5000円,-,5.2万円,1K,25m2
パレＨＳＰ,京都府向日市寺戸町久々相,"
ＪＲ東海道本線/向日町駅 歩1分
阪急京都線/東向日駅 歩6分
ＪＲ東海道本線/桂川駅 歩17分
","
築29年
7階建
","
											2階",6.2万円,3500円,-,-,ワンルーム,19.44m2
コモド長岡京,京都府長岡京市今里三ノ坪,"
阪急京都線/長岡天神駅 歩17分
阪急京都線/西向日駅 歩19分
ＪＲ東海道本線/長岡京駅 歩23分
","
築34年
3階建
","
											2階",6.3万円,6000円,-,6.3万円,2DK,44.55m2
コモド長岡京,京都府長岡京市今里三ノ坪,"
阪急京都線/長岡天神駅 歩17分
阪急京都線/西向日駅 歩19分
ＪＲ東海道本線/長岡京駅 歩23分
","
築34年
3階建
","
											3階",6.8万円,6000円,-,6.8万円,3DK,51.84m2
コモド長岡京,京都府長岡京市今里三ノ坪,"
阪急京都線/長岡天神駅 歩17分
阪急京都線/西向日駅 歩19分
ＪＲ東海道本線/長岡京駅 歩23分
","
築34年
3階建
","
											3階",6.8万円,7000円,-,6.8万円,3DK,51m2
コモド長岡京,京都府長岡京市今里三ノ坪,"
阪急京都線/長岡天神駅 歩17分
阪急京都線/西向日駅 歩19分
ＪＲ東海道本線/長岡京駅 歩23分
","
築34年
3階建
","
											1階",8万円,6000円,-,8万円,2LDK,51.84m2
コモド長岡京,京都府長岡京市今里三ノ坪,"
阪急京都線/長岡天神駅 歩17分
阪急京都線/西向日駅 歩19分
ＪＲ東海道本線/長岡京駅 歩23分
","
築34年
3階建
","
											1階",8万円,7000円,-,8万円,2LDK,51.84m2
レオパレスＲＯＹＡＬＣＯＵＲＴ,京都府京都市南区久世東土川町,"
ＪＲ東海道本線/桂川駅 バス14分 (バス停)桂川 歩3分


","
築24年
2階建
","
											1階",4.6万円,7000円,-,-,1K,20.28m2
レオパレスＲＯＹＡＬＣＯＵＲＴ,京都府京都市南区久世東土川町,"
ＪＲ東海道本線/桂川駅 バス14分 (バス停)桂川 歩3分


","
築24年
2階建
","
											2階",5万円,7000円,-,5万円,1K,21.06m2
レオパレスＲＯＹＡＬＣＯＵＲＴ,京都府京都市南区久世東土川町,"
ＪＲ東海道本線/桂川駅 バス14分 (バス停)桂川 歩3分


","
築24年
2階建
","
											2階",5万円,7000円,-,-,1K,21.06m2
ＲＯＹＡＬＣＯＵＲＴ,京都府京都市南区久世東土川町,"
ＪＲ東海道本線/向日町駅 歩27分
阪急京都線/西向日駅 歩26分
阪急京都線/東向日駅 歩31分
","
築24年
2階建
","
											2階",4.6万円,7000円,-,-,1K,20.28m2
柴野荘,京都府京都市南区久世東土川町,"
ＪＲ東海道本線/向日町駅 歩27分
ＪＲ東海道本線/桂川駅 歩40分
阪急京都線/東向日駅 歩30分
","
築42年
2階建
","
											2階",4万円,1000円,3万円,5万円,1DK,19.44m2
柴野荘,京都府京都市南区久世東土川町,"
ＪＲ東海道本線/向日町駅 歩27分
ＪＲ東海道本線/桂川駅 歩40分
阪急京都線/東向日駅 歩30分
","
築42年
2階建
","
											2階",4万円,1000円,3万円,5万円,1DK,19.44m2
柴野荘,京都府京都市南区久世東土川町,"
ＪＲ東海道本線/向日町駅 歩27分
ＪＲ東海道本線/桂川駅 歩40分
阪急京都線/東向日駅 歩30分
","
築42年
2階建
","
											2階",4万円,1000円,3万円,5万円,1DK,19.44m2
向日町南山34貸家 （短期貸し専用）,京都府向日市向日町南山,"
阪急京都線/西向日駅 歩8分
阪急京都線/東向日駅 歩19分
ＪＲ東海道本線/向日町駅 歩23分
","
築48年
2階建
","
											1-2階",6.5万円,-,-,9.75万円,5DK,104.43m2
阪急京都線 西向日駅 2階建 築48年,京都府向日市向日町,"
阪急京都線/西向日駅 歩8分
阪急京都線/東向日駅 歩19分
ＪＲ東海道本線/向日町駅 歩23分
","
築48年
2階建
","
											2階",6.5万円,-,-,9.75万円,5DK,104.43m2
阪急京都線 西向日駅 2階建 築48年,京都府向日市向日町,"
阪急京都線/西向日駅 歩8分
阪急京都線/東向日駅 歩19分
ＪＲ東海道本線/向日町駅 歩23分
","
築48年
2階建
","
											2階",6.5万円,-,-,9.75万円,5DK,104.43m2
阪急京都線 東向日駅 2階建 築26年,京都府向日市森本町前田,"
阪急京都線/東向日駅 歩10分
ＪＲ東海道本線/向日町駅 歩13分
ＪＲ東海道本線/桂川駅 歩27分
","
築26年
2階建
","
											2階",6.3万円,3000円,6.3万円,-,1LDK,41.73m2
プレジール翠園,京都府向日市物集女町クヅ子,"
阪急京都線/洛西口駅 歩10分
ＪＲ東海道本線/向日町駅 歩27分
ＪＲ東海道本線/桂川駅 歩17分
","
築30年
2階建
","
											2階",7.7万円,4000円,-,10万円,2LDK,52.84m2
テイク・ア・レスト,京都府向日市物集女町北ノ口,"
阪急京都線/洛西口駅 歩11分


","
築32年
2階建
","
											1階",5.6万円,4000円,5万円,6万円,2DK,46.5m2
シティハイム物集女,京都府向日市物集女町中海道,"
阪急京都線/洛西口駅 歩14分
ＪＲ東海道本線/桂川駅 歩23分
阪急京都線/東向日駅 歩24分
","
築39年
2階建
","
											2階",5.7万円,-,-,-,2DK,38.88m2
シティハイム物集女,京都府向日市物集女町中海道,"
阪急京都線/洛西口駅 歩14分
ＪＲ東海道本線/桂川駅 歩23分
阪急京都線/東向日駅 歩24分
","
築39年
2階建
","
											2階",5.7万円,-,-,-,2DK,38.4m2
シティハイム物集女,京都府向日市物集女町中海道,"
阪急京都線/洛西口駅 歩14分
ＪＲ東海道本線/桂川駅 歩23分
阪急京都線/東向日駅 歩24分
","
築39年
2階建
","
											1階",5.7万円,-,-,-,2DK,40m2
シティハイム物集女,京都府向日市物集女町中海道,"
阪急京都線/洛西口駅 歩14分
ＪＲ東海道本線/桂川駅 歩23分
阪急京都線/東向日駅 歩24分
","
築39年
2階建
","
											2階",6万円,-,6万円,-,2DK,41.16m2
シティハイム物集女,京都府向日市物集女町中海道,"
阪急京都線/洛西口駅 歩14分
ＪＲ東海道本線/桂川駅 歩23分
阪急京都線/東向日駅 歩24分
","
築39年
2階建
","
											1階",6万円,-,6万円,-,2DK,41.16m2
シャルレ1番館　物集女,京都府向日市物集女町豆尾,"
阪急京都線/洛西口駅 車3分(1.0km)
阪急京都線/東向日駅 車3分(1.1km)
ＪＲ東海道本線/向日町駅 車4分(1.3km)
","
築38年
6階建
","
											4階",5.4万円,5000円,-,-,1LDK,31.5m2
シャルレ1番館　物集女,京都府向日市物集女町豆尾,"
阪急京都線/洛西口駅 車3分(1.0km)
阪急京都線/東向日駅 車3分(1.1km)
ＪＲ東海道本線/向日町駅 車4分(1.3km)
","
築38年
6階建
","
											3階",5.7万円,5000円,-,-,1LDK,35.03m2
シャルレ1番館　物集女,京都府向日市物集女町豆尾,"
阪急京都線/洛西口駅 車3分(1.0km)
阪急京都線/東向日駅 車3分(1.1km)
ＪＲ東海道本線/向日町駅 車4分(1.3km)
","
築38年
6階建
","
											6階",5.8万円,5000円,-,-,1LDK,35.05m2
シャルレ1番館　物集女,京都府向日市物集女町豆尾,"
阪急京都線/洛西口駅 車3分(1.0km)
阪急京都線/東向日駅 車3分(1.1km)
ＪＲ東海道本線/向日町駅 車4分(1.3km)
","
築38年
6階建
","
											6階",5.9万円,5000円,-,-,1LDK,35.05m2
シャトーおさんだ,京都府向日市物集女町ヲサン田,"
阪急京都線/洛西口駅 歩11分
ＪＲ東海道本線/桂川駅 歩20分
阪急京都線/東向日駅 歩25分
","
築40年
2階建
","
											1階",7.3万円,3000円,10万円,-,2DK,53.19m2
クレイノ西森本,京都府向日市森本町,"
阪急京都線/西向日駅 歩13分
阪急京都線/東向日駅 歩14分
ＪＲ東海道本線/向日町駅 歩16分
","
築7年
2階建
","
											1階",6.4万円,7000円,-,6.4万円,1K,25.89m2
